DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
Unknown,Deargee Solar And BESS,NSW1,Battery Storage,Scheduled,700.0,Publicly Announced,,,
Unknown,Deargee Solar And BESS,NSW1,Solar PV,Semi-scheduled,320.0,Publicly Announced,,,
Unknown,Dederang BESS,VIC1,Battery Storage,Scheduled,200.0,Publicly Announced,2028.0,,
Unknown,Deepwater Hybrid Facility,NSW1,Battery Storage,Scheduled,140.0,Publicly Announced,,,
Unknown,Deepwater Hybrid Facility,NSW1,Solar PV,Semi-scheduled,3.04,Publicly Announced,,,
Unknown,Deer Park BESS - Akaysha,VIC1,Battery Storage,Scheduled,1.11,Publicly Announced,2028.0,,
Unknown,Delburn Wind Farm,VIC1,Wind,Semi-scheduled,6.6,Publicly Announced,,,
Unknown,Deniliquin East BESS,NSW1,Battery Storage,Scheduled,100.0,Publicly Announced,2026.0,,
Unknown,Denman BESS - KCI,NSW1,Battery Storage,Scheduled,4.2,Publicly Announced,,,
Unknown,Derby Solar Farm and BESS,VIC1,Battery Storage,Scheduled,95.0,Publicly Announced,2027.0,,
Unknown,Derby Solar Farm and BESS,VIC1,Solar PV,Semi-scheduled,3.17,Anticipated,2028.0,,
Unknown,Derringullen Energy Storage System,NSW1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
Unknown,Derwent Valley Wind Farm,TAS1,Wind,Semi-scheduled,150.0,Publicly Announced,,,
DEVILS_G,Devils Gate,TAS1,Hydro,Scheduled,60.0,In Service,,,
Unknown,Devlins Bridge Battery Storage,NSW1,Battery Storage,Scheduled,600.0,Publicly Announced,,,
Unknown,Devlins Wind Farm,NSW1,Wind,Semi-scheduled,7.05,Publicly Announced,,,
DIAPURWF1,Diapur Wind Farm,VIC1,Wind,Non-scheduled,4.0,In Service,,,
Unknown,Dinawan Energy Hub,NSW1,Battery Storage,Scheduled,2.58,Publicly Announced,2029.0,,
Unknown,Dinawan Energy Hub,NSW1,Solar PV,Semi-scheduled,4.6,Publicly Announced,2029.0,,
Unknown,Dinawan Energy Hub,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,2029.0,,
Unknown,Dinawan Energy Hub,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,2031.0,,
Unknown,Dingo Solar Farm,QLD1,Solar PV,Semi-scheduled,85.0,Publicly Announced,,,
Unknown,Direk BESS,SA1,Battery Storage,Scheduled,20.0,Publicly Announced,,,
Unknown,Doreen BESS,VIC1,Battery Storage,Scheduled,800.0,Publicly Announced,,,
DRYCGT1,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
DRYCGT2,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
DRYCGT3,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
Unknown,Dugald River Wind Faarm,QLD1,Wind,Semi-scheduled,144.0,Publicly Announced,,,
DULAWF1,Dulacca Wind Farm,QLD1,Wind,Semi-scheduled,4.02,In Service,,,
Unknown,Dumaresq Solar Farm,NSW1,Solar PV,Semi-scheduled,188.0,Publicly Announced,,,
DUNDWF1,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
DUNDWF2,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
DUNDWF3,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
Unknown,Dunedoo Solar Farm,NSW1,Solar PV,Semi-scheduled,55.0,Anticipated,,,
Unknown,"Dungowan 3,000 MWH PHES",NSW1,Hydro,Scheduled,150.0,Publicly Announced,2033.0,,
Unknown,Dunmore BESS,QLD1,Battery Storage,Scheduled,3.6,Publicly Announced,,,
Unknown,Dunmore Solar Farm,QLD1,Solar PV,Scheduled,3.8,Publicly Announced,,,
Unknown,East End BESS,QLD1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,East Terang BESS - KCI,VIC1,Battery Storage,Scheduled,220.0,Publicly Announced,,,
EASTCRK,Eastern Creek,NSW1,Other,Non-scheduled,1.26,In Service,,,
Unknown,Eastern Creek 2 Gas Utilisation Facility,NSW1,Gas Turbine,Non-scheduled,1.12,In Service,,,
Unknown,Eastern Rise Offshore Wind,NSW1,Wind,Semi-scheduled,15.0,Publicly Announced,,,
Unknown,Ebor BESS,NSW1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
Unknown,Edderton Hybrid Faciility - Solar,NSW1,Solar PV,Semi-scheduled,4.17,Publicly Announced,,,
Unknown,Edderton Hybrid Facility - BESS,NSW1,Battery Storage,Scheduled,350.0,Publicly Announced,,,
Unknown,Eden Offshore Wind Farm,NSW1,Wind,Semi-scheduled,2000.0,Publicly Announced,2034.0,,
EDENVSF1,Edenvale Solar Park.,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Egans Hills BESS,QLD1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
EILDON1,Eildon,VIC1,Hydro,Scheduled,60.0,In Service,,,
EILDON1,Eildon,VIC1,Hydro,Scheduled,7.5,In Service,,,
EILDON2,Eildon,VIC1,Hydro,Scheduled,60.0,In Service,,,
EILDON2,Eildon,VIC1,Hydro,Scheduled,7.5,In Service,,,
EILDON3,Eildon Pondage Power Station (EPPS),VIC1,Hydro,Non-scheduled,4.5,In Service,,,
Unknown,EIWA Gin Gin Renewable Energy Park,QLD1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,EIWA Gin Gin Renewable Energy Park,QLD1,Solar PV,Semi-scheduled,4.6,Publicly Announced,,,
Unknown,EIWA Golden Fleece Renewable Energy Park,QLD1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,EIWA Golden Fleece Renewable Energy Park,QLD1,Solar PV,Semi-scheduled,4.6,Publicly Announced,,,
Unknown,EIWA Richmond Valley BESS ,NSW1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Elai Genesis Battery Storage System,QLD1,Battery Storage,Scheduled,120.0,Publicly Announced,,,
Unknown,Elaine BESS,VIC1,Battery Storage,Scheduled,0.9,Committed,2027.0,,
Unknown,Elaine Solar Farm and BESS,VIC1,Battery Storage,Scheduled,125.0,Anticipated,2027.0,,
Unknown,Elaine Solar Farm and BESS,VIC1,Solar PV,Semi-scheduled,125.0,Anticipated,,,
ELAINWF1,Elaine Wind Farm,VIC1,Wind,Semi-scheduled,3.8,In Service,,,
Unknown,Elderbury Creek Wind Farm,NSW1,Wind,Semi-scheduled,6.8,Publicly Announced,,,
EMERASF1,Emerald Solar Park,QLD1,Solar PV,Semi-scheduled,2.25,In Service,,,
Unknown,Emeroo BESS,SA1,Battery Storage,Scheduled,4.4,Anticipated,2028.0,,
Unknown,Emu Park BESS,NSW1,Battery Storage,Scheduled,3.33,Publicly Announced,,,
Unknown,Emu Park Solar Farm,NSW1,Solar PV,Semi-scheduled,4.0,Publicly Announced,,,
ER01,Eraring,NSW1,Coal,Scheduled,720.0,Announced Withdrawal,,2029-04-30,2029.0
ER02,Eraring,NSW1,Coal,Scheduled,720.0,Announced Withdrawal,,2029-04-30,2029.0
ER03,Eraring,NSW1,Coal,Scheduled,720.0,Announced Withdrawal,,2029-04-30,2029.0
ER04,Eraring,NSW1,Coal,Scheduled,720.0,Announced Withdrawal,,2029-04-30,2029.0
ERB01,Eraring Big Battery,NSW1,Battery Storage,Scheduled,460.0,In Service,2025.0,,
ERB01,Eraring Big Battery,NSW1,Battery Storage,Scheduled,240.0,Committed,2027.0,,
ERB01,Eraring Big Battery,NSW1,Battery Storage,Scheduled,0.0,Committed,2026.0,,
ERGT01,Eraring GT,NSW1,Gas Turbine,Non-scheduled,41.5,In Service,,,
Unknown,Euleilah Solar Farm and BESS - KCI,QLD1,Solar PV,Scheduled,350.0,Publicly Announced,,,
Unknown,Eurimbula Hybrid Facility - Battery Storage,QLD1,Battery Storage,Scheduled,666.0,Publicly Announced,2028.0,,
Unknown,Eurimbula Solar Farm,QLD1,Solar PV,Semi-scheduled,4.2,Publicly Announced,2028.0,,
Unknown,Euston Wind Farm - KCI,NSW1,Wind,Semi-scheduled,330.0,Publicly Announced,,,
Unknown,Everleigh Solar Farm and BESS - KCI,QLD1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
Unknown,Everleigh Solar Farm and BESS - KCI,QLD1,Solar PV,Semi-scheduled,200.0,Publicly Announced,,,
Unknown,Farmers Creek Energy Park,QLD1,Battery Storage,Scheduled,3.44,Publicly Announced,2031.0,,
Unknown,Farmers Creek Energy Park,QLD1,Solar PV,Semi-scheduled,3.47,Publicly Announced,2031.0,,
FNWF1,Ferguson Wind Farm,VIC1,Wind,Non-scheduled,4.0,In Service,,,
FINLYSF1,Finley Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
FISHER,Fisher,TAS1,Hydro,Scheduled,43.2,In Service,,,
FLYCRKWF,Flyers Creek Wind Farm,NSW1,Wind,Semi-scheduled,3.83,In Service,,,
Unknown,Forbes Hybrid Project,NSW1,Battery Storage,Scheduled,2.6,Publicly Announced,2028.0,,
Unknown,Forbes Hybrid Project,NSW1,Solar PV,Semi-scheduled,3.6,Publicly Announced,2028.0,,
Unknown,Forest Glen BESS,NSW1,Battery Storage,Scheduled,25.0,Publicly Announced,,,
Unknown,Forest Glen Solar Farm,NSW1,Solar PV,Semi-scheduled,90.0,Publicly Announced,,,
Unknown,Forest Wind,QLD1,Wind,Semi-scheduled,1200.0,Publicly Announced,,,
Unknown,Forsayth Wind Farm,QLD1,Wind,Semi-scheduled,5.5,Publicly Announced,,,
Unknown,Fosterville SF and BESS,VIC1,Battery Storage,Scheduled,3.5,Anticipated,2028.0,,
Unknown,Fosterville SF and BESS,VIC1,Solar PV,Semi-scheduled,3.5,Anticipated,2028.0,,
Unknown,Fraser Coast Hybrid Plant,QLD1,Solar PV,Semi-scheduled,310.8,Anticipated,,,
Unknown,Fraser Coast Hybrid Plant,QLD1,Battery Storage,Scheduled,210.63,Anticipated,2027.0,,
Unknown,Frasers Solar Farm,VIC1,Solar PV,Semi-scheduled,77.0,Anticipated,2027.0,,
Unknown,Fulham Solar Farm And BESS,VIC1,Battery Storage,Scheduled,2.67,Committed,2027.0,,
Unknown,Fulham Solar Farm And BESS,VIC1,Solar PV,Semi-scheduled,3.33,Committed,2027.0,,
GANGARR1,Gangarri Solar Farm,QLD1,Solar PV,Semi-scheduled,3.0,In Commissioning,2026.0,,
GANNB1,Gannawarra Energy Storage System,VIC1,Battery Storage,Scheduled,0.51,In Service,,,
GANNSF1,Gannawarra Solar Farm,VIC1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Ganymirra Solar Power Station,QLD1,Battery Storage,Scheduled,150.0,Anticipated,2029.0,,
Unknown,Ganymirra Solar Power Station,QLD1,Solar PV,Semi-scheduled,150.0,Anticipated,2029.0,,
Unknown,Gara BESS,NSW1,Battery Storage,Scheduled,3.62,Publicly Announced,2028.0,,
Unknown,Garoo BESS,NSW1,Battery Storage,Scheduled,3.8,Publicly Announced,,,
Unknown,Garoo Solar Farm,NSW1,Solar PV,Semi-scheduled,4.4,Publicly Announced,,,
Unknown,Gawara Baya Wind And BESS,QLD1,Battery Storage,Scheduled,26.0,Anticipated,2029.0,,
Unknown,Gawara Baya Wind And BESS,QLD1,Wind,Semi-scheduled,6.0,Anticipated,2030.0,,
Unknown,Geelong BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Gelston Energy Park,NSW1,Battery Storage,Scheduled,400.0,Publicly Announced,2028.0,,
Unknown,Gemfields Integrated Facility - Wind And Solar,QLD1,Solar PV,Semi-scheduled,250.0,Publicly Announced,,,
Unknown,Gemfields Integrated Facility - Wind And Solar,QLD1,Wind,Semi-scheduled,1200.0,Publicly Announced,,,
Unknown,George Town BESS - KCI,TAS1,Battery Storage,Scheduled,350.0,Publicly Announced,2029.0,,
Unknown,George Town Wind Farm,TAS1,Wind,Semi-scheduled,232.0,Publicly Announced,,,
Unknown,Geranium Plains Solar and BESS,SA1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
Unknown,Geranium Plains Solar and BESS,SA1,Solar PV,Semi-scheduled,250.0,Publicly Announced,,,
GERMCRK,German Creek,QLD1,Gas Turbine,Non-scheduled,1.99,In Service,,,
